from_occupation_code,to_occupation_code,source_id,source_record_id,transition_type,difficulty_score,transferability_score,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-OCC-ENE-013,CPX-OCC-BOP-008,onet,11-1011.03:11-9199.02,lateral,3,0.5,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-PPM-001,onet,11-1011.03:11-9199.10,lateral,3,0.8,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-PPM-003,onet,11-1011.03:11-9199.11,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-PPM-013,onet,11-1011.03:13-1111.00,lateral,3,0.5,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-PPM-017,onet,11-1011.03:15-1299.09,lateral,3,0.5,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-ENG-001,onet,11-1011.03:17-2081.00,lateral,3,0.5,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-ENE-012,onet,11-1011.03:17-2199.03,lateral,3,0.5,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-PPM-007,onet,11-1011.03:19-2041.02,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-013,CPX-OCC-CBE-012,onet,11-1011.03:19-3051.00,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-PPM-011,onet,11-1021.00:11-2022.00,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-CBE-013,onet,11-1021.00:11-3013.00,lateral,3,0.8,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-BOP-001,onet,11-1021.00:11-3051.00,lateral,3,0.8,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-BOP-006,onet,11-1021.00:11-3071.00,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-PPM-019,onet,11-1021.00:11-9021.00,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-PPM-001,onet,11-1021.00:13-1082.00,lateral,3,0.65,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-020,CPX-OCC-PPM-013,onet,11-1021.00:13-1111.00,lateral,3,0.5,source_mapped,not_reviewed,,,,2026.1
