occupation_code,alias,normalised_alias,alias_type,country_code,industry_context,language_code,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-OCC-DDA-016,Accountants and Auditors,accountants and auditors,source_preferred_label,US,,en,onet,13-2011.00,O*NET database,0.0647,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Officers of non-governmental organisations,en,uk-soc,uk-soc:a1ic,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,National government administrative occupations,en,uk-soc,uk-soc:a1id,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,National government administrative occupations,en,uk-soc,uk-soc:a1ie,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Other educational professionals n.e.c,en,uk-soc,uk-soc:a1if,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Public services associate professionals,en,uk-soc,uk-soc:a1ig,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Pensions and insurance clerks and assistants,en,uk-soc,uk-soc:a1ih,UK Standard Occupational Classification 2020,0.1638,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,"CAD, drawing and architectural technicians",en,uk-soc,uk-soc:a1ii,UK Standard Occupational Classification 2020,0.1621,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Local government administrative occupations,en,uk-soc,uk-soc:a1ij,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Local government administrative occupations,en,uk-soc,uk-soc:a1ik,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Human resources administrative occupations,en,uk-soc,uk-soc:a1il,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,School secretaries,en,uk-soc,uk-soc:a1im,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Officers of non-governmental organisations,en,uk-soc,uk-soc:a1in,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Human resources administrative occupations,en,uk-soc,uk-soc:a1io,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Other administrative occupations n.e.c.,en,uk-soc,uk-soc:e8ce,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Financial administrative occupations n.e.c.,en,uk-soc,uk-soc:e8qe,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Legal secretaries,en,uk-soc,uk-soc:e9jy,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Sales administrators,en,uk-soc,uk-soc:e9jz,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Officers of non-governmental organisations,en,uk-soc,uk-soc:e9uk,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Human resources administrative occupations,en,uk-soc,uk-soc:f3dt,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-015,Administrator,administrator,source_preferred_label,GB,Other administrative occupations n.e.c.,en,uk-soc,uk-soc:f4rd,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-003,Advertising and Promotions Managers,advertising and promotions managers,source_preferred_label,US,,en,onet,11-2011.00,O*NET database,0.055,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-BOP-010,Advice service manager,advice service manager,source_preferred_label,GB,Managers and proprietors in other services n.e.c.,en,uk-soc,uk-soc:c7wl,UK Standard Occupational Classification 2020,0.1638,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-019,Aerospace Engineers,aerospace engineers,source_preferred_label,US,,en,onet,17-2011.00,O*NET database,0.0602,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-014,Aerospace systems engineer,aerospace systems engineer,source_preferred_label,GB,Aerospace engineers,en,uk-soc,uk-soc:b4fr,UK Standard Occupational Classification 2020,0.1883,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-019,Agricultural Engineers,agricultural engineers,source_preferred_label,US,,en,onet,17-2021.00,O*NET database,0.0613,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-016,aircraft maintenance engineer,aircraft maintenance engineer,source_preferred_label,EU,,en,esco,http://data.europa.eu/esco/occupation/81a1e1f5-cce3-444d-bfc3-9771236d57cd,ESCO occupations and skills,0.1949,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-016,Aircraft maintenance engineer,aircraft maintenance engineer,source_preferred_label,GB,Aircraft maintenance and related trades,en,uk-soc,uk-soc:b3va,UK Standard Occupational Classification 2020,0.2114,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-007,airport planning engineer,airport planning engineer,source_preferred_label,EU,,en,esco,http://data.europa.eu/esco/occupation/bc1c82a5-0fc3-453f-8537-9d1a6e9e85aa,ESCO occupations and skills,0.2083,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-013,Analyst,analyst,source_preferred_label,GB,Business and related research professionals,en,uk-soc,uk-soc:a2be,UK Standard Occupational Classification 2020,0.1629,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-013,Analyst,analyst,source_preferred_label,GB,Programmers and software development professionals,en,uk-soc,uk-soc:a2bf,UK Standard Occupational Classification 2020,0.1633,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-013,Analyst,analyst,source_preferred_label,GB,Data analysts,en,uk-soc,uk-soc:a2bg,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-013,Analyst,analyst,source_preferred_label,GB,Data analysts,en,uk-soc,uk-soc:a2bh,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-013,Analyst,analyst,source_preferred_label,GB,Finance and investment analysts and advisers,en,uk-soc,uk-soc:a2bi,UK Standard Occupational Classification 2020,0.1629,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-013,Analyst,analyst,source_preferred_label,GB,Data analysts,en,uk-soc,uk-soc:f4dv,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
