skill_code,alias,normalised_alias,language_code,country_code,industry_context,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-SKL-AUTO-57202730,100 Plus Hatch Pattern Library,100 plus hatch pattern library,en,US,tool,onet,onet/skills.csv:311,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0F27BB87,1003 Uniform Residential Loan Application,1003 uniform residential loan application,en,US,tool,onet,onet/skills.csv:364,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-74BF389C,1099 ProsSoftware,1099 prossoftware,en,US,tool,onet,onet/skills.csv:232,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-A1AFC7CA,1CadCam Unigraphics,1cadcam unigraphics,en,US,tool,onet,onet/skills.csv:263,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-51D1FA61,1ST Pricing Window & Door Toolkit,1st pricing window and door toolkit,en,US,tool,onet,onet/skills.csv:355,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0F420CA2,24SevenOffice Project,24sevenoffice project,en,US,tool,onet,onet/skills.csv:157,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-EA566CB4,2AB iLock Security Services,2ab ilock security services,en,US,tool,onet,onet/skills.csv:300,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-C16AA3F2,360 Analytics eQUEST,360 analytics equest,en,US,tool,onet,onet/skills.csv:331,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-7C45F541,3D graphics software,3d graphics software,en,US,tool,onet,onet/skills.csv:213,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-29111B5F,3D modelling,3d modeling,en,EU,domain_knowledge,esco,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-B38F4836,3D Static Strength Prediction Program 3DSSPP,3d static strength prediction program 3dsspp,en,US,tool,onet,onet/skills.csv:345,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-2A194807,3D urban simulation modeling software,3d urban simulation modeling software,en,US,tool,onet,onet/skills.csv:207,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-ED4CAF51,3M Post-it App,3m post-it app,en,US,tool,onet,onet/skills.csv:402,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0AF0AB73,3PL Central,3pl central,en,US,tool,onet,onet/skills.csv:340,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-85417D45,5AM Glassbox Translational Research,5am glassbox translational research,en,US,tool,onet,onet/skills.csv:182,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-F99FA6C2,80-20 Software Leaders4,80-20 software leaders4,en,US,tool,onet,onet/skills.csv:267,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-83FC6E1A,A mathematical programming language AMPL,a mathematical programming language ampl,en,US,tool,onet,onet/skills.csv:230,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-65B434D8,A programming language APL,a programming language apl,en,US,tool,onet,onet/skills.csv:277,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-09AE6D10,Ab Initio,ab initio,en,US,tool,onet,onet/skills.csv:400,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-92E846A3,Abacus Tax,abacus tax,en,US,tool,onet,onet/skills.csv:203,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-3FC90475,ABAP,abap,en,EU,domain_knowledge,esco,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-2904C53A,ABB CPM4Metals,abb cpm4metals,en,US,tool,onet,onet/skills.csv:344,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-7E8FDD1D,ABB Optimize IT Predict & Control,abb optimize it predict and control,en,US,tool,onet,onet/skills.csv:191,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-8D03CB54,Abbott,abbott,en,US,tool,onet,onet/skills.csv:262,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-57534B0A,Abbott Informatics STARLIMS:LIMS,abbott informatics starlims lims,en,US,tool,onet,onet/skills.csv:297,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-D3F2F308,ABC Compiler,abc compiler,en,US,tool,onet,onet/skills.csv:370,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-2A2673AE,ABC: the AspectBench Compiler for AspectJ,abc the aspectbench compiler for aspectj,en,US,tool,onet,onet/skills.csv:307,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-D58496D9,abide by regulations on banned materials,abide by regulations on banned materials,en,EU,transferable,esco,http://data.europa.eu/esco/skill/c0ccbd15-36f3-4515-ae0b-b4062d225ee2,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-1DD97F60,Abilities,abilities,en,US,transferable,onet,onet/skills.csv:3,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-5BD88274,ABOL Manifest Systems,abol manifest systems,en,US,tool,onet,onet/skills.csv:183,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-B9114043,Abraxas Energy Consulting Metrix,abraxas energy consulting metrix,en,US,tool,onet,onet/skills.csv:343,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
