code,canonical_name,slug,description,skill_category,parent_skill_code,proficiency_framework,verification_status,review_status,reviewed_by,reviewed_at,review_notes,is_active,taxonomy_version
CPX-SKL-AUTO-0012B616,Event scheduling software,event-scheduling-software,Calendar and scheduling software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-00450073,Management of Material Resources,management-of-material-resources,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.",transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-006521C2,Multilimb Coordination,multilimb-coordination,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.",transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-00CA60A1,ensure regulatory compliance in pipeline infrastructures,ensure-regulatory-compliance-in-pipeline-infrastructures,ESCO skill linked to selected occupations.,regulatory,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-010E3D29,adhere to organisational guidelines,adhere-to-organisational-guidelines,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0123F583,CGI-AMS BureauLink Enterprise,cgi-ams-bureaulink-enterprise,Information retrieval or search software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0128A4B5,advise on environmental remediation,advise-on-environmental-remediation,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0157CCD9,transportation methods,transportation-methods,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-01A6F020,design microelectronics,design-microelectronics,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-01B92F1B,geodesy,geodesy,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
