entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
occupation,CPX-OCC-BOP-001,needs_revision,,,,,
occupation,CPX-OCC-BOP-002,needs_human_review,,,,,
occupation,CPX-OCC-BOP-003,needs_human_review,,,,,
occupation,CPX-OCC-BOP-004,needs_revision,,,,,
occupation,CPX-OCC-BOP-005,needs_human_review,,,,,
occupation,CPX-OCC-BOP-006,needs_human_review,,,,,
occupation,CPX-OCC-BOP-007,needs_human_review,,,,,
occupation,CPX-OCC-BOP-008,needs_human_review,,,,,
occupation,CPX-OCC-BOP-009,needs_human_review,,,,,
occupation,CPX-OCC-BOP-010,needs_human_review,,,,,
occupation,CPX-OCC-CBE-001,needs_human_review,,,,,
occupation,CPX-OCC-CBE-002,needs_human_review,,,,,
occupation,CPX-OCC-CBE-003,needs_revision,,,,,
occupation,CPX-OCC-CBE-004,needs_human_review,,,,,
occupation,CPX-OCC-CBE-005,needs_revision,,,,,
occupation,CPX-OCC-CBE-006,needs_revision,,,,,
occupation,CPX-OCC-CBE-007,needs_human_review,,,,,
occupation,CPX-OCC-CBE-008,needs_revision,,,,,
occupation,CPX-OCC-CBE-009,needs_human_review,,,,,
occupation,CPX-OCC-CBE-010,needs_revision,,,,,
occupation,CPX-OCC-CBE-011,needs_human_review,,,,,
occupation,CPX-OCC-CBE-012,needs_revision,,,,,
occupation,CPX-OCC-CBE-013,needs_human_review,,,,,
occupation,CPX-OCC-CBE-014,needs_human_review,,,,,
occupation,CPX-OCC-DDA-001,needs_revision,,,,,
occupation,CPX-OCC-DDA-002,needs_revision,,,,,
occupation,CPX-OCC-DDA-003,needs_human_review,,,,,
occupation,CPX-OCC-DDA-004,needs_revision,,,,,
occupation,CPX-OCC-DDA-005,needs_human_review,,,,,
occupation,CPX-OCC-DDA-006,needs_human_review,,,,,
occupation,CPX-OCC-DDA-007,needs_human_review,,,,,
occupation,CPX-OCC-DDA-008,needs_revision,,,,,
occupation,CPX-OCC-DDA-009,needs_revision,,,,,
occupation,CPX-OCC-DDA-010,needs_human_review,,,,,
occupation,CPX-OCC-DDA-011,needs_human_review,,,,,
occupation,CPX-OCC-DDA-012,needs_human_review,,,,,
occupation,CPX-OCC-DDA-013,needs_human_review,,,,,
occupation,CPX-OCC-DDA-014,needs_human_review,,,,,
occupation,CPX-OCC-DDA-015,needs_revision,,,,,
occupation,CPX-OCC-DDA-016,needs_human_review,,,,,
occupation,CPX-OCC-DDA-017,needs_revision,,,,,
occupation,CPX-OCC-DDA-018,needs_human_review,,,,,
occupation,CPX-OCC-DDA-019,needs_revision,,,,,
occupation,CPX-OCC-DDA-020,needs_revision,,,,,
occupation,CPX-OCC-ENE-001,needs_revision,,,,,
occupation,CPX-OCC-ENE-002,needs_revision,,,,,
occupation,CPX-OCC-ENE-003,needs_revision,,,,,
occupation,CPX-OCC-ENE-004,needs_revision,,,,,
occupation,CPX-OCC-ENE-005,needs_revision,,,,,
occupation,CPX-OCC-ENE-006,needs_revision,,,,,
occupation,CPX-OCC-ENE-007,needs_revision,,,,,
occupation,CPX-OCC-ENE-008,needs_human_review,,,,,
occupation,CPX-OCC-ENE-009,needs_human_review,,,,,
occupation,CPX-OCC-ENE-010,needs_revision,,,,,
occupation,CPX-OCC-ENE-011,needs_revision,,,,,
occupation,CPX-OCC-ENE-012,needs_revision,,,,,
occupation,CPX-OCC-ENE-013,needs_revision,,,,,
occupation,CPX-OCC-ENE-014,needs_human_review,,,,,
occupation,CPX-OCC-ENG-001,needs_revision,,,,,
occupation,CPX-OCC-ENG-002,needs_revision,,,,,
occupation,CPX-OCC-ENG-003,needs_revision,,,,,
occupation,CPX-OCC-ENG-004,needs_revision,,,,,
occupation,CPX-OCC-ENG-005,needs_revision,,,,,
occupation,CPX-OCC-ENG-006,needs_revision,,,,,
occupation,CPX-OCC-ENG-007,needs_human_review,,,,,
occupation,CPX-OCC-ENG-008,needs_human_review,,,,,
occupation,CPX-OCC-ENG-009,needs_revision,,,,,
occupation,CPX-OCC-ENG-010,needs_human_review,,,,,
occupation,CPX-OCC-ENG-011,needs_human_review,,,,,
occupation,CPX-OCC-ENG-012,needs_revision,,,,,
occupation,CPX-OCC-ENG-013,needs_revision,,,,,
occupation,CPX-OCC-ENG-014,needs_revision,,,,,
occupation,CPX-OCC-ENG-015,needs_revision,,,,,
occupation,CPX-OCC-ENG-016,needs_revision,,,,,
occupation,CPX-OCC-ENG-017,needs_human_review,,,,,
occupation,CPX-OCC-ENG-018,needs_human_review,,,,,
occupation,CPX-OCC-ENG-019,needs_revision,,,,,
occupation,CPX-OCC-ENG-020,needs_revision,,,,,
occupation,CPX-OCC-ENG-021,needs_revision,,,,,
occupation,CPX-OCC-ENG-022,needs_revision,,,,,
occupation,CPX-OCC-PPM-001,needs_revision,,,,,
occupation,CPX-OCC-PPM-002,needs_revision,,,,,
occupation,CPX-OCC-PPM-003,needs_revision,,,,,
occupation,CPX-OCC-PPM-004,needs_human_review,,,,,
occupation,CPX-OCC-PPM-005,needs_revision,,,,,
occupation,CPX-OCC-PPM-006,needs_revision,,,,,
occupation,CPX-OCC-PPM-007,needs_human_review,,,,,
occupation,CPX-OCC-PPM-008,needs_revision,,,,,
occupation,CPX-OCC-PPM-009,needs_revision,,,,,
occupation,CPX-OCC-PPM-010,needs_revision,,,,,
occupation,CPX-OCC-PPM-011,needs_human_review,,,,,
occupation,CPX-OCC-PPM-012,needs_human_review,,,,,
occupation,CPX-OCC-PPM-013,needs_revision,,,,,
occupation,CPX-OCC-PPM-014,needs_revision,,,,,
occupation,CPX-OCC-PPM-015,needs_revision,,,,,
occupation,CPX-OCC-PPM-016,needs_revision,,,,,
occupation,CPX-OCC-PPM-017,needs_revision,,,,,
occupation,CPX-OCC-PPM-018,needs_human_review,,,,,
occupation,CPX-OCC-PPM-019,needs_revision,,,,,
occupation,CPX-OCC-PPM-020,needs_human_review,,,,,
