entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-0F91113D|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-3A91AE7D|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-BC270433|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-7A776DDF|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-129F0440|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-67BD8C74|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-02BEABBF|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-3951517D|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-102FFBEC|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-6A63FF77|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-40628FD9|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-DA579DE3|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-80041166|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-247ADC43|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-D5CBD41C|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-0BB8877C|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-54DD00B8|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-B96852D1|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-60BCDAD0|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-007|CPX-SKL-AUTO-B6796883|desirable,deferred,,,,,
