code,canonical_title,slug,summary,description,career_family_code,career_level,country_code,industry_context,uk_soc_code,onet_code,esco_uri,verification_status,review_status,reviewed_by,reviewed_at,review_notes,is_active,taxonomy_version
CPX-OCC-ENG-001,Civil Engineer,civil-engineer,UK infrastructure and civil works,UK infrastructure and civil works,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,UK infrastructure and civil works,5213,17-2081.00,http://data.europa.eu/esco/occupation/44508e7b-f56b-4bfb-9cd6-879838aecd94,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-002,Senior Civil Engineer,senior-civil-engineer,UK infrastructure and civil works,UK infrastructure and civil works,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,senior_practitioner,GB,UK infrastructure and civil works,2129,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-003,Structural Engineer,structural-engineer,Buildings bridges and structural assets,Buildings bridges and structural assets,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Buildings bridges and structural assets,2121,,http://data.europa.eu/esco/occupation/b9296f1a-a68b-4ac7-9904-f2cf1374fbaf,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-004,Geotechnical Engineer,geotechnical-engineer,Ground engineering and earthworks,Ground engineering and earthworks,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Ground engineering and earthworks,2121,17-2151.00,http://data.europa.eu/esco/occupation/efc75d4e-dfbf-4178-929c-0ae198801c36,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-005,Transportation Engineer,transportation-engineer,Road rail and mobility infrastructure,Road rail and mobility infrastructure,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Road rail and mobility infrastructure,2121,17-2051.01,http://data.europa.eu/esco/occupation/aad7819e-d62e-41de-a594-9f2be186a6c2,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-006,Rail Engineer,rail-engineer,Rail infrastructure and rolling systems,Rail infrastructure and rolling systems,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Rail infrastructure and rolling systems,,,http://data.europa.eu/esco/occupation/7c2fbf7d-b934-4f62-8167-0ed90fb2a16f,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-007,Highways Engineer,highways-engineer,Roads highways and local authority infrastructure,Roads highways and local authority infrastructure,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Roads highways and local authority infrastructure,2121,,http://data.europa.eu/esco/occupation/5f68c4c3-9d25-48e2-8efc-5471a80fb155,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-008,Bridge Engineer,bridge-engineer,Bridge design inspection and asset management,Bridge design inspection and asset management,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Bridge design inspection and asset management,,,http://data.europa.eu/esco/occupation/6293a718-3fcd-433f-a010-0899821a51b7,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-009,Water Engineer,water-engineer,Water infrastructure and flood risk,Water infrastructure and flood risk,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Water infrastructure and flood risk,5223,17-2051.02,http://data.europa.eu/esco/occupation/fcf9024e-277c-43c7-8ec8-8903e5c9c576,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-010,Drainage Engineer,drainage-engineer,Drainage flood and surface-water systems,Drainage flood and surface-water systems,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Drainage flood and surface-water systems,8159,,http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,draft,not_reviewed,,,,true,2026.1
