entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
skill,CPX-SKL-AUTO-0012B616,needs_human_review,,,,,
skill,CPX-SKL-AUTO-00450073,needs_human_review,,,,,
skill,CPX-SKL-AUTO-006521C2,needs_human_review,,,,,
skill,CPX-SKL-AUTO-00CA60A1,needs_human_review,,,,,
skill,CPX-SKL-AUTO-010E3D29,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0123F583,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0128A4B5,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0157CCD9,needs_human_review,,,,,
skill,CPX-SKL-AUTO-01A6F020,needs_human_review,,,,,
skill,CPX-SKL-AUTO-01B92F1B,needs_human_review,,,,,
skill,CPX-SKL-AUTO-01DE95B3,needs_human_review,,,,,
skill,CPX-SKL-AUTO-02174F4C,needs_human_review,,,,,
skill,CPX-SKL-AUTO-021C61CC,needs_human_review,,,,,
skill,CPX-SKL-AUTO-021D5DB6,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0279C024,needs_human_review,,,,,
skill,CPX-SKL-AUTO-028612FC,needs_human_review,,,,,
skill,CPX-SKL-AUTO-02BEABBF,needs_human_review,,,,,
skill,CPX-SKL-AUTO-02C0F723,needs_human_review,,,,,
skill,CPX-SKL-AUTO-02EE932D,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0319B6D4,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0384E53A,needs_human_review,,,,,
skill,CPX-SKL-AUTO-038CEC42,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0408DD49,needs_human_review,,,,,
skill,CPX-SKL-AUTO-04466A42,needs_human_review,,,,,
skill,CPX-SKL-AUTO-04FFB2F8,needs_human_review,,,,,
skill,CPX-SKL-AUTO-052B962E,needs_human_review,,,,,
skill,CPX-SKL-AUTO-05505988,needs_human_review,,,,,
skill,CPX-SKL-AUTO-056270FE,needs_human_review,,,,,
skill,CPX-SKL-AUTO-05B3D8F2,needs_human_review,,,,,
skill,CPX-SKL-AUTO-05B6A341,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0610C50A,needs_human_review,,,,,
skill,CPX-SKL-AUTO-062466C6,needs_human_review,,,,,
skill,CPX-SKL-AUTO-06719520,needs_human_review,,,,,
skill,CPX-SKL-AUTO-067EB21B,needs_human_review,,,,,
skill,CPX-SKL-AUTO-06DC0CB9,needs_human_review,,,,,
skill,CPX-SKL-AUTO-073A34F6,needs_human_review,,,,,
skill,CPX-SKL-AUTO-073DE116,needs_human_review,,,,,
skill,CPX-SKL-AUTO-077C58F7,needs_human_review,,,,,
skill,CPX-SKL-AUTO-07D3E689,needs_human_review,,,,,
skill,CPX-SKL-AUTO-07F149B8,needs_human_review,,,,,
skill,CPX-SKL-AUTO-081400C1,needs_human_review,,,,,
skill,CPX-SKL-AUTO-085F11EF,needs_human_review,,,,,
skill,CPX-SKL-AUTO-088ADB45,needs_human_review,,,,,
skill,CPX-SKL-AUTO-088F39E3,needs_human_review,,,,,
skill,CPX-SKL-AUTO-08BA3BD8,needs_human_review,,,,,
skill,CPX-SKL-AUTO-08C04917,needs_human_review,,,,,
skill,CPX-SKL-AUTO-091726A7,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0940A444,needs_human_review,,,,,
skill,CPX-SKL-AUTO-09485647,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0969BBF7,needs_human_review,,,,,
skill,CPX-SKL-AUTO-09AE6D10,needs_human_review,,,,,
skill,CPX-SKL-AUTO-09B2615A,needs_human_review,,,,,
skill,CPX-SKL-AUTO-09B61CE4,needs_human_review,,,,,
skill,CPX-SKL-AUTO-09D9D6C3,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0A32DEDA,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0A6657BC,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0A7245FE,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0A83E75B,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0A8A4D92,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0ACD7FB4,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0AE4E961,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0AF0AB73,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0B37E863,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0B41388E,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0BB8877C,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0BBB8BC2,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0BC2C23E,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0BD6497B,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0C187978,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0C2372BD,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0C722B17,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0C99F9B8,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0CDA09A8,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0CE30C7C,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0D42E145,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0E015E52,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0E1D5981,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0EC9F61C,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0F27BB87,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0F3B3F9C,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0F420CA2,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0F492352,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0F91113D,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0FBF48C0,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0FE93BD2,needs_human_review,,,,,
skill,CPX-SKL-AUTO-0FF256A5,needs_human_review,,,,,
