entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
career_transition,CPX-OCC-ENE-013|CPX-OCC-BOP-008|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-PPM-001|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-PPM-003|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-PPM-013|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-PPM-017|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-ENG-001|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-ENE-012|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-PPM-007|lateral,deferred,,,,,
career_transition,CPX-OCC-ENE-013|CPX-OCC-CBE-012|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-PPM-011|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-CBE-013|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-BOP-001|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-BOP-006|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-PPM-019|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-PPM-001|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-PPM-013|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-PPM-017|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-020|CPX-OCC-ENG-017|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-DDA-017|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-PPM-011|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-BOP-005|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-PPM-013|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-BOP-002|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-PPM-001|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-DDA-014|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-003|CPX-OCC-CBE-008|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-PPM-020|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-PPM-003|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-PPM-011|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-BOP-005|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-PPM-001|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-PPM-013|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-BOP-002|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-PPM-017|lateral,deferred,,,,,
career_transition,CPX-OCC-DDA-017|CPX-OCC-DDA-014|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-PPM-020|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-PPM-003|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-DDA-017|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-BOP-005|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-PPM-012|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-PPM-013|lateral,deferred,,,,,
career_transition,CPX-OCC-PPM-011|CPX-OCC-BOP-002|lateral,deferred,,,,,
career_transition,CPX-OCC-CBE-013|CPX-OCC-PPM-020|lateral,deferred,,,,,
career_transition,CPX-OCC-CBE-013|CPX-OCC-BOP-001|lateral,deferred,,,,,
career_transition,CPX-OCC-CBE-013|CPX-OCC-BOP-006|lateral,deferred,,,,,
career_transition,CPX-OCC-CBE-013|CPX-OCC-PPM-019|lateral,deferred,,,,,
career_transition,CPX-OCC-CBE-013|CPX-OCC-PPM-011|lateral,deferred,,,,,
career_transition,CPX-OCC-CBE-013|CPX-OCC-PPM-001|lateral,deferred,,,,,
